p,za,theta,n_ext,seed,T,A,R
0.034,114.3,84.0,1.0,13,0.000763,8.6e-05,0.999151
0.034,114.3,84.0,1.0,29,7.2e-05,9.2e-05,0.999837
0.034,114.3,84.0,1.0,53,0.001571,9.2e-05,0.998337
0.034,114.3,66.0,1.33,13,0.084792,0.002835,0.912373
0.034,114.3,66.0,1.33,29,0.003692,0.002865,0.993444
0.034,114.3,66.0,1.33,53,0.016926,0.002867,0.980207
0.034,114.3,67.0,1.33,13,0.07495,0.002472,0.922578
0.034,114.3,67.0,1.33,29,0.002364,0.002425,0.995211
0.034,114.3,67.0,1.33,53,0.011249,0.002438,0.986313
0.034,114.3,68.0,1.33,13,0.054113,0.002274,0.943614
0.034,114.3,68.0,1.33,29,0.002356,0.002186,0.995458
0.034,114.3,68.0,1.33,53,0.009889,0.002207,0.987904
0.034,114.3,69.0,1.33,13,0.041989,0.002127,0.955885
0.034,114.3,69.0,1.33,29,0.002217,0.00201,0.995772
0.034,114.3,69.0,1.33,53,0.009684,0.002028,0.988288
0.034,114.3,70.0,1.33,13,0.030786,0.00198,0.967234
0.034,114.3,70.0,1.33,29,0.001978,0.001861,0.996161
0.034,114.3,70.0,1.33,53,0.009626,0.001895,0.98848
0.034,114.3,71.0,1.33,13,0.032664,0.001824,0.965512
0.034,114.3,71.0,1.33,29,0.001804,0.001728,0.996469
0.034,114.3,71.0,1.33,53,0.010186,0.001774,0.98804
0.034,114.3,72.0,1.33,13,0.028026,0.001701,0.970273
0.034,114.3,72.0,1.33,29,0.001642,0.001605,0.996753
0.034,114.3,72.0,1.33,53,0.010624,0.00167,0.987706
0.034,114.3,73.0,1.33,13,0.02544,0.001557,0.973003
0.034,114.3,73.0,1.33,29,0.001515,0.001494,0.996991
0.034,114.3,73.0,1.33,53,0.011061,0.001568,0.987371
0.034,114.3,74.0,1.33,13,0.019569,0.001428,0.979003
0.034,114.3,74.0,1.33,29,0.001354,0.001394,0.997252
0.034,114.3,74.0,1.33,53,0.010933,0.001467,0.9876
0.034,114.3,75.0,1.33,13,0.020729,0.001314,0.977957
0.034,114.3,75.0,1.33,29,0.001325,0.001301,0.997374
0.034,114.3,75.0,1.33,53,0.011411,0.001362,0.987227
0.034,114.3,76.0,1.33,13,0.021305,0.001221,0.977474
0.034,114.3,76.0,1.33,29,0.001219,0.001209,0.997572
0.034,114.3,76.0,1.33,53,0.012015,0.001258,0.986728
0.034,114.3,77.0,1.33,13,0.017807,0.001135,0.981058
0.034,114.3,77.0,1.33,29,0.001111,0.001113,0.997776
0.034,114.3,77.0,1.33,53,0.01091,0.001168,0.987922
0.034,114.3,78.0,1.33,13,0.017925,0.001043,0.981032
0.034,114.3,78.0,1.33,29,0.00101,0.001016,0.997974
0.034,114.3,78.0,1.33,53,0.011853,0.001059,0.987087
0.034,114.3,79.0,1.33,13,0.015855,0.000948,0.983197
0.034,114.3,79.0,1.33,29,0.000921,0.000924,0.998155
0.034,114.3,79.0,1.33,53,0.011388,0.000961,0.987651
0.034,114.3,80.0,1.33,13,0.012489,0.000829,0.986682
0.034,114.3,80.0,1.33,29,0.000822,0.00084,0.998339
0.034,114.3,80.0,1.33,53,0.009964,0.000831,0.989205
0.034,114.3,81.0,1.33,13,0.010693,0.000698,0.988609
0.034,114.3,81.0,1.33,29,0.000731,0.000762,0.998507
0.034,114.3,81.0,1.33,53,0.00885,0.000689,0.990461
0.034,114.3,82.0,1.33,13,0.010106,0.000606,0.989288
0.034,114.3,82.0,1.33,29,0.000661,0.000678,0.998661
0.034,114.3,82.0,1.33,53,0.008487,0.000582,0.99093
0.034,114.3,83.0,1.33,13,0.010145,0.000538,0.989317
0.034,114.3,83.0,1.33,29,0.000583,0.000589,0.998828
0.034,114.3,83.0,1.33,53,0.008226,0.000511,0.991262
0.034,114.3,84.0,1.33,13,0.009061,0.000475,0.990464
0.034,114.3,84.0,1.33,29,0.000491,0.0005,0.999008
0.034,114.3,84.0,1.33,53,0.0074,0.00045,0.99215
0.206,52.9,45.0,1.0,13,0.016853,0.006139,0.977008
0.206,52.9,45.0,1.0,29,0.010691,0.006313,0.982997
0.206,52.9,45.0,1.0,53,0.019003,0.006179,0.974817
0.206,52.9,46.0,1.0,13,0.015708,0.005761,0.978531
0.206,52.9,46.0,1.0,29,0.010909,0.005916,0.983176
0.206,52.9,46.0,1.0,53,0.014985,0.005823,0.979192
0.206,52.9,47.0,1.0,13,0.01455,0.005473,0.979977
0.206,52.9,47.0,1.0,29,0.011308,0.005616,0.983076
0.206,52.9,47.0,1.0,53,0.013488,0.005525,0.980988
0.206,52.9,48.0,1.0,13,0.01566,0.00521,0.97913
0.206,52.9,48.0,1.0,29,0.010972,0.005373,0.983655
0.206,52.9,48.0,1.0,53,0.01207,0.005268,0.982662
0.206,52.9,49.0,1.0,13,0.015048,0.004998,0.979954
0.206,52.9,49.0,1.0,29,0.011131,0.005169,0.983701
0.206,52.9,49.0,1.0,53,0.01152,0.005058,0.983422
0.206,52.9,50.0,1.0,13,0.014616,0.004815,0.980569
0.206,52.9,50.0,1.0,29,0.009879,0.005005,0.985116
0.206,52.9,50.0,1.0,53,0.010052,0.004862,0.985087
0.206,52.9,51.0,1.0,13,0.014041,0.00466,0.981298
0.206,52.9,51.0,1.0,29,0.009594,0.004842,0.985564
0.206,52.9,51.0,1.0,53,0.01033,0.004698,0.984972
0.206,52.9,52.0,1.0,13,0.013176,0.004516,0.982308
0.206,52.9,52.0,1.0,29,0.008653,0.004708,0.986639
0.206,52.9,52.0,1.0,53,0.009028,0.004552,0.98642
0.206,52.9,53.0,1.0,13,0.01254,0.004391,0.983069
0.206,52.9,53.0,1.0,29,0.007738,0.004562,0.987701
0.206,52.9,53.0,1.0,53,0.009215,0.004411,0.986375
0.206,52.9,54.0,1.0,13,0.011858,0.004259,0.983882
0.206,52.9,54.0,1.0,29,0.007356,0.004399,0.988245
0.206,52.9,54.0,1.0,53,0.008781,0.004277,0.986942
0.206,52.9,55.0,1.0,13,0.011586,0.004146,0.984268
0.206,52.9,55.0,1.0,29,0.00743,0.00425,0.988321
0.206,52.9,55.0,1.0,53,0.009188,0.004144,0.986668
0.206,52.9,56.0,1.0,13,0.011124,0.004029,0.984848
0.206,52.9,56.0,1.0,29,0.006421,0.004115,0.989464
0.206,52.9,56.0,1.0,53,0.008895,0.00402,0.987085
0.206,52.9,57.0,1.0,13,0.010542,0.003912,0.985545
0.206,52.9,57.0,1.0,29,0.005173,0.003976,0.990851
0.206,52.9,57.0,1.0,53,0.008306,0.003903,0.987791
0.206,52.9,58.0,1.0,13,0.011659,0.003799,0.984542
0.206,52.9,58.0,1.0,29,0.005198,0.003851,0.990951
0.206,52.9,58.0,1.0,53,0.008599,0.003777,0.987624
0.206,52.9,59.0,1.0,13,0.012665,0.00368,0.983655
0.206,52.9,59.0,1.0,29,0.00539,0.003742,0.990868
0.206,52.9,59.0,1.0,53,0.008416,0.003662,0.987922
0.206,52.9,60.0,1.0,13,0.013201,0.003577,0.983222
0.206,52.9,60.0,1.0,29,0.005734,0.003635,0.99063
0.206,52.9,60.0,1.0,53,0.007891,0.003545,0.988565
0.206,52.9,61.0,1.0,13,0.0155,0.0035,0.981
0.206,52.9,61.0,1.0,29,0.007565,0.003558,0.988877
0.206,52.9,61.0,1.0,53,0.007912,0.003427,0.98866
0.206,52.9,62.0,1.0,13,0.015115,0.003381,0.981505
0.206,52.9,62.0,1.0,29,0.007879,0.003428,0.988693
0.206,52.9,62.0,1.0,53,0.007604,0.003312,0.989084
0.206,52.9,63.0,1.0,13,0.015596,0.003282,0.981121
0.206,52.9,63.0,1.0,29,0.009223,0.003315,0.987462
0.206,52.9,63.0,1.0,53,0.007393,0.00319,0.989417
0.206,52.9,64.0,1.0,13,0.016278,0.003182,0.980541
0.206,52.9,64.0,1.0,29,0.010584,0.003206,0.986209
0.206,52.9,64.0,1.0,53,0.007072,0.003079,0.989849
0.206,52.9,65.0,1.0,13,0.017494,0.003076,0.97943
0.206,52.9,65.0,1.0,29,0.012366,0.003098,0.984536
0.206,52.9,65.0,1.0,53,0.006828,0.002964,0.990208
0.206,52.9,66.0,1.0,13,0.016393,0.002964,0.980643
0.206,52.9,66.0,1.0,29,0.012164,0.002962,0.984873
0.206,52.9,66.0,1.0,53,0.006391,0.002859,0.990751
0.206,52.9,67.0,1.0,13,0.017786,0.002861,0.979353
0.206,52.9,67.0,1.0,29,0.013511,0.002853,0.983636
0.206,52.9,67.0,1.0,53,0.006197,0.002752,0.991051
0.206,52.9,68.0,1.0,13,0.014238,0.002719,0.983043
0.206,52.9,68.0,1.0,29,0.010698,0.002652,0.98665
0.206,52.9,68.0,1.0,53,0.005888,0.002644,0.991469
0.206,52.9,69.0,1.0,13,0.013518,0.002628,0.983854
0.206,52.9,69.0,1.0,29,0.011524,0.002544,0.985933
0.206,52.9,69.0,1.0,53,0.00558,0.002532,0.991889
0.206,52.9,70.0,1.0,13,0.01037,0.00249,0.987141
0.206,52.9,70.0,1.0,29,0.009565,0.002399,0.988036
0.206,52.9,70.0,1.0,53,0.005222,0.002413,0.992365
0.206,52.9,71.0,1.0,13,0.009317,0.002344,0.988339
